Conference: JH BOYS 1																													
																													
    #    	Team Name																												
1	JHB9-LITTLE PIRATES																												
2	JHB10-PROGRAM SELECT JH																												
3	JHB11-RAZORBACKS																												
4	JHB12-REPUBLIC TIGERS - 8TH																												
5	JHB13-STRAFFORD 8TH GRADE																												
																													
																													
TEAM		OPPONENT	DAY	DATE	      TIME      				COURT		TEAM		OPPONENT	DAY	DATE	      TIME      				COURT									
1	vs	5	F	12-Jul	4		40	PM	W		5	vs	3	W	31-Jul	5		30	PM	R									
1	vs	3	F	12-Jul	5		30	PM	W		5	vs	2	W	31-Jul	6		20	PM	R									
5	vs	4	F	12-Jul	7		10	PM	W																				
2	vs	3	F	12-Jul	8		00	PM	W		2	vs	4	F	2-Aug	4		40	PM	W									
4	vs	2	F	12-Jul	8		50	PM	W		1	vs	5	F	2-Aug	4		40	PM	B									
											3	vs	4	F	2-Aug	5		30	PM	B									
4	vs	1	F	19-Jul	4		40	PM	W		3	vs	5	F	2-Aug	6		20	PM	W									
4	vs	3	F	19-Jul	5		30	PM	W		2	vs	1	F	2-Aug	6		20	PM	B									
1	vs	2	F	19-Jul	6		20	PM	W																				
																													
4	vs	5	F	26-Jul	5		30	PM	W																				
4	vs	1	F	26-Jul	6		20	PM	W																				
2	vs	5	F	26-Jul	7		10	PM	W																				
3	vs	1	F	26-Jul	8		50	PM	W																				
3	vs	2	F	26-Jul	9		30	PM	W																				
Conference: JH BOYS 2																													
																													
    #    	Team Name																												
1	JHB1-HOOPS																												
2	JHB2-OZARK THUNDER																												
3	JHB3-SPFD RAVENS																												
4	JHB4-STOUTLAND TIGERS																												
5	JHB5-STRAFFORD 7TH GRADE B																												
6	JHB6-EAGLES-ASH																												
7	JHB7-REPUBLIC 7TH GRADE																												
8	JHB8-STRAFFORD 7TH GRADE A																												
																													
																													
TEAM		OPPONENT	DAY	DATE	      TIME      				COURT		TEAM		OPPONENT	DAY	DATE	      TIME      				COURT									
2	vs	7	F	12-Jul	4		40	PM	B		6	vs	7	F	26-Jul	4		40	PM	W									
1	vs	7	F	12-Jul	5		30	PM	B		4	vs	2	F	26-Jul	4		40	PM	B									
2	vs	5	F	12-Jul	6		20	PM	B		2	vs	7	F	26-Jul	5		30	PM	B									
4	vs	5	F	12-Jul	7		10	PM	B		3	vs	6	F	26-Jul	6		20	PM	B									
8	vs	1	F	12-Jul	8		00	PM	B		4	vs	5	F	26-Jul	7		10	PM	B									
3	vs	4	F	12-Jul	8		50	PM	B		1	vs	5	F	26-Jul	8		00	PM	B									
