'ffe7432,Kyle Falconer,9 hours ago,Wed Sep 25 10:31:15 2013 -0500,Made an artifact build definition for building an executable jar file.',
'4268ecb,Will Gorman,25 hours ago,Tue Sep 24 19:24:23 2013 -0500,Fixed a bug leading to an exception with the .csv reader. #1115083',
'b866af9,Charles Eswine,25 hours ago,Tue Sep 24 19:18:45 2013 -0500,Merge remote-tracking branch 'origin/master'',
'a59aad5,Charles Eswine,25 hours ago,Tue Sep 24 19:15:00 2013 -0500,csv template',
'7de3e0d,CJ,2 days ago,Mon Sep 23 15:28:01 2013 -0500,initial commit',
'2c30423,CJ,2 days ago,Mon Sep 23 14:34:04 2013 -0500,Merge branch 'master' of https://github.com/netinept/Court-Scheduler',
'310eb76,Kyle Falconer,2 days ago,Mon Sep 23 14:03:16 2013 -0500,Moved the filename input from Reader to main()',
'0b69cda,Michael Adams,2 days ago,Mon Sep 23 13:46:49 2013 -0500,#1115083 Added basic csv reader and team class',
'7568c65,Kyle Falconer,2 days ago,Mon Sep 23 12:23:29 2013 -0500,commenting out the hooks which initiate the solver, this will allow the program to run to completion.'
'84fb3dd,Kyle Falconer,3 days ago,Sun Sep 22 18:34:36 2013 -0500,Merge branch 'master' into Wireup-to-solver',
'3c7b4b5,Kyle Falconer,3 days ago,Sun Sep 22 18:31:00 2013 -0500,Removed superfluous how-to documentation from the ReadMe file in favor of having that information included in the Wiki on GitHub.',
'e8628db,Kyle Falconer,3 days ago,Sun Sep 22 18:22:24 2013 -0500,Changed the .gitignore file to allow for inclusion of the .idea folder.',
'5a598b7,Matthew Swinney,3 days ago,Sun Sep 22 16:03:27 2013 -0500,Fixed a missing package name.',
'429f7de,Matthew Swinney,3 days ago,Sun Sep 22 15:22:44 2013 -0500,Added dependency research text files. If you have questions about the contents or how they were generated, just ask me.'
'd60e21b,Kyle Falconer,4 days ago,Sat Sep 21 23:28:41 2013 -0500,Added dummy classes for I/O',
'63d48f0,Kyle Falconer,4 days ago,Sat Sep 21 23:20:26 2013 -0500,Yak shaving...',
'9b512b4,Stephen Kaysen,4 days ago,Sat Sep 21 22:55:14 2013 -0500,corrected  solver file structure (ammended last commit)',
'd9a2485,Stephen Kaysen,4 days ago,Sat Sep 21 22:52:20 2013 -0500,created solving file structure',
'1115d66,Kyle Falconer,4 days ago,Sat Sep 21 22:36:47 2013 -0500,added the /out file to the .gitignore',
'28280de,Kyle Falconer,4 days ago,Sat Sep 21 22:35:03 2013 -0500,Fixed SolverConfig loading',
'28b4168,Stephen Kaysen,4 days ago,Sat Sep 21 22:26:03 2013 -0500,removed redundant module',
'06d65e3,Kyle Falconer,4 days ago,Sat Sep 21 22:21:36 2013 -0500,allowed the .idea folder in hopes that module settings will be persistant across developer machines',
'29930cd,Kyle Falconer,4 days ago,Sat Sep 21 21:56:55 2013 -0500,Changed project structure again. The code will now compile and this main.java class can be used and run as an example. However, this example will crash since we don't have our config file correct (it references classes which do not exist).'
'b8fa67c,Kyle Falconer,4 days ago,Sat Sep 21 21:30:49 2013 -0500,Starting over...',
'28c62af,Kyle Falconer,4 days ago,Sat Sep 21 19:57:49 2013 -0500,altered folder structure again to make room for a main and test directory, to mimic what's going on in the examples.'
'e532a2e,Kyle Falconer,4 days ago,Sat Sep 21 19:47:15 2013 -0500,Moved files related to #1115094 and added a package name.',
'4202395,Kyle Falconer,4 days ago,Sat Sep 21 19:34:10 2013 -0500,Wire input to solving engine #1115094',
'b48d0b8,Kyle Falconer,11 days ago,Sat Sep 14 21:51:34 2013 -0500,Quick and dirty write to CSV for the Nurse Scheduler example',
'6ead332,Kyle Falconer,11 days ago,Sat Sep 14 20:15:17 2013 -0500,Fixed error in instructions',
'e4f50b3,Kyle Falconer,11 days ago,Sat Sep 14 20:11:22 2013 -0500,Added build and configuration instructions',
'7a341e6,Kyle Falconer,11 days ago,Sat Sep 14 19:22:09 2013 -0500,Merge branch 'OptaPlanner' of https://github.com/netinept/Court-Scheduler',
'cc3c361,Charles Eswine,2 weeks ago,Wed Sep 11 20:16:26 2013 -0500,These are the excel files from Shane.',
