,X,Team,Year,Gender,Grade,Level,Requests,Not Same Time As
101,,101-BLACK AND WHITE TIGERS,,B,1,R,,
102,,102-BULLS-SHORTER,,B,1,C,NO 4:40,
103,,103-EAGLES-CROWE,,B,1,R,Plays in afternoon in Y league,
104,,104-GAUCHOS,,B,1,I,"NO 1/12-20, 3/3",
105,,105-IRISH-WEBSTER 1,,B,1,R,NO 2/17,"Irish 2, Bears 3"
106,,106-PATRIOTS,,B,1,C,NO 4:40,
107,,107-SHOOTIN TIGERS-JENNINGS,,B,1,C,"TH ONLY, NO Sat",
141,,141-EAGLES-HINES,,B,1,C,,
142,,142-MISSOURI WINGS 1,,B,1,C,"no 1/4, 2/4, 18, 3/3",WINGS 2
143,,143-PANTHERS,,B,1,C,"NO 1/14-15, 21-22, 2/11-12, 3/24-25.",
145,,145-THUNDER-CAMPBELL,,B,1,C,No Wed,
146,,146-THUNDER-CRIGHTON,,B,1,C,no 1/21-22. NO Sat,
151,,151-LADY PUMAS-LAWRENCE,,G,1,R,no 2/16-18,
152,,152-LITTLE PURPLE THUNDER,,G,1,R,,
153,,153-INTENSITY 2023,,G,1,R,,
154,,154-RIM ROCKERS,,G,1,R,,
155,,155-MAGIC-MCCALL,,G,1,I,,
156,,156-LADY TIGERS-SIMS,,G,1,C,,
208,a,208-YELLOWJACKETS-WILSON,,B,2,R,"NO 3/17-25. DH ARE FINE, LIMIT EARLY/LATE GAMES",
207,a,207-THE BEARS-BURRI,,B,2,R,,
2014,a,2014-WILDCATS-SCOTT 2,,B,2,R,"wants 2 games with bombers. Ask shane. No 1/7-8, 14-15, 27-29, 2/10-12, 2/25-27, 3/10-11",BOOMER BOMBERS
2015,a,2015-GOLDEN BEARS,,B,2,R,,
,a,2016-CARDINALS-GILBERT,,B,2,R,,
2013,a,2013-TIGERS-HALL,,B,2,R,Wants Sat or Wed,
203,a,203-GORILLAS 2,,B,2,R,,
2012,a,2012-PROGRAM SELECT 2,,B,2,R,NO SAT,
206,b,206-SPFD STARS WHITE 2,,B,2,R,NO SAT IF POSSIBLE.,
202,b,202-CRUSH-TREAT 2,,B,2,R,VERY new team and inexperienced team :),
2010,b,2010-EAGLES-PIPER 2,,B,2,R,"Wants DH. NO 2/16, 23",
205,b,205-OUTLAWS 2B,,B,2,R,,Outlaws 2A if possible
2011,b,2011-LIBERATORS-GABANI 2,,B,2,R,"Wants DH, no week of 3/19",
209,b,209-GENERALS-BOSWELL,,B,2,R,NO 2/18,
204,b,204-LAKERS-SWEATT,,B,2,R,Need dh on Sat,
201,b,201-BLUEJAYS-HUTTER,,B,2,R,"start after 1/15. NO 3/16-25. No Sat IF POSSIBLE.  No 4:40 (except 1/26, 3/1). NO after 5:30 on 1/19 OR after 6:20 ON 1/26. ",BLUJAYS DUNCAN-REID
221,,221-BLUEJAYS-DUNCAN-REID,,B,2,I,start after 1/15. NO 3/16-25. No 4:40 (except 1/26th & 1/1) Can't play after 5:30 on 1/19 or after 6:20 on 1/26.,BLUEJAYS-HUTTER OR BAILEY
222,,222-BOOMER BOMBERS,,B,2,I,"WANTS 2 GAMES WITH WILDCATS 2. NO 1/7-8, 12, 14-15, 27-29, 2/10-12, 25-27, 3/10-11.",WILDCATS-SCOTT 2
223,,223-EAGLES-TURNER 2,,B,2,I,,Turner 6
224,,224-LEFTY'S DRILLERS,,B,2,I,"no 1/7, 21, 2/4, 11, 25, 3/10, 17",Flash 3 or 4
225,,225-OUTLAWS 2A,,B,2,I,,Outlaws 2B if possible
226,,226-TIGER PRIDE 2,,B,2,I,NO THUR. WANTS DH,
241,,241-BLUEJAYS-BAILEY,,B,2,C,start after 1/15. NO 3/16-25. NO SAT. No 4:40 (except 1/26 & 3/1) NO after 5:30 on 1/19 & after 6:20 on 1/26. NO 2-15-20,"BLUJAYS DUNCAN-REID, CELTICS, FLASH"
242,,242-IRISH-O'REILLY 2,,B,2,C,"NO Wed. NO 1/19-25, 2/18-20, 3/12-17. PREFER NO WEEKENDS",IRISH 5TH GRADE
243,,243-MISSOURI WINGS 2,,B,2,C,"no 1/14, 2/4, 18, 3/3",WINGS 1
244,,244-MIZZOU-VAUGHAN 2,,B,2,C,,
245,,245-MUSKIES,,B,2,C,"WANTS DH, CAN PLAY 1-19, 26, 2/9, 18, 25, 3/3, 10, 17. Wants 5:30 and back to back. Move down!",
246,,246-REPUBLIC CRUSH,,B,2,C,Don't play first few weeks.  Wants all Thur.,
247,,247-SPFD STARS RED 2,,B,2,C,NO SAT IF POSSIBLE.,
251,,251-EXTREME EAGLES,,G,2,R,,
252,,252-LADY INDIANS-GARDNER,,G,2,R,,
253,,253-LADY WILDCATS-KIBBY,,G,2,R,,
254,,254-LITTLE LADY JAYS,,G,2,R,"NO 4:40. NO 1/14, 19-20, 3/10, 19.",
255,,255-SPFD STARS PINK 2,,G,2,R,NO SAT IF POSSIBLE.,
256,,256-TRIPLE S-LADY TIGERS,,G,2,R,,
